missile,UAV,UAV_pos_x,UAV_pos_y,UAV_pos_z,missile_pos_x,missile_pos_y,missile_pos_z,los_dir_x,los_dir_y,los_dir_z,perp_dist_to_los_m,R_s_m,is_geometrically_feasible,group_occlusion_total_s,n_intervals,geo_note
0,2,1500.00,2598.00,500.00,8000.00,0.00,150.00,-1.00,-0.00,-0.02,2640.49,50.00,False,0,0,[几何不可达] UAV2距导弹0视线2640.5m > 云团半径50.0m
1,4,1500.00,-2598.00,500.00,4000.00,6928.00,150.00,-0.50,-0.87,-0.02,2651.17,50.00,False,0,0,[几何不可达] UAV4距导弹1视线2651.2m > 云团半径50.0m
1,3,2598.00,-1500.00,500.00,4000.00,6928.00,150.00,-0.50,-0.87,-0.02,3041.30,50.00,False,0,0,[几何不可达] UAV3距导弹1视线3041.3m > 云团半径50.0m
2,1,2598.00,1500.00,500.00,4000.00,-6928.00,150.00,-0.50,0.87,-0.02,3041.30,50.00,False,0,0,[几何不可达] UAV1距导弹2视线3041.3m > 云团半径50.0m
2,0,3000.00,0.00,500.00,4000.00,-6928.00,150.00,-0.50,0.87,-0.02,2640.55,50.00,False,0,0,[几何不可达] UAV0距导弹2视线2640.5m > 云团半径50.0m
